Month,FPI_Equity (USD_MN),FPI_Debt (USD_MN),FPI_Hybrid (USD_MN),FPI_Equity (INR_Crore),FPI_Debt (INR_Crore),FPI_Hybrid (INR_Crore),MF_Equity (INR_Crore),MF_Debt (INR_Crore),usd_inr,MF_Equity (USD_MN),MF_Debt (USD_MN)
22/08/2023,-13.09,-257.51,-0.88,-108.75,-2139.09,-7.3,"1,240.35","1,213.57",8.307868602,149.2982207,146.0747706
21/08/2023,-153.67,267.97,-1.27,-1277.22,2227.22,-10.52,2894.34,12.60,8.311446606,348.235408,1.515981585
18/08/2023,69.19,166.91,2.52,574.85,1386.85,20.9,1265.11,-1433.34,8.308281544,152.2709592,-172.5194305
17/08/2023,-118.73,20.95,86.53,-986.97,174.2,719.25,1551.36,-3232.61,8.312726354,186.6246925,-388.8748243
14/08/2023,1041.99,42.25,1.06,8643.48,350.5,8.81,968.44,-425.95,8.29516598,116.7475132,-51.34918349
11/08/2023,-306.18,152.44,1.4,-2534.61,1261.89,11.63,"1,050.90","-4,936.50",8.278169704,126.9483518,-596.3274705
10/08/2023,247.31,31.28,-1.37,"2,048.64",259.1,-11.32,1065.26,-604.87,8.283692532,128.5972404,-73.0193688
09/08/2023,120.38,143.86,-0.31,996.94,1191.34,-2.56,5111.26,"-2,142.42",8.281608241,617.1820559,-258.6961298
08/08/2023,-7.06,3.22,-1.39,-58.45,26.63,-11.5,441.11,-30.97,8.279036827,53.28035244,-3.740773311
07/08/2023,272.16,-6.97,-2.89,"2,251.98",-57.62,-23.94,961.43,-900.55,8.274470899,116.1923236,-108.8347534
04/08/2023,8.02,34.93,-1.7,66.39,289.26,-14.11,1468.88,-407.97,8.278054863,177.442651,-49.28331676
03/08/2023,26.19,-20.07,-3.14,216.64,-166.04,-25.95,17.94,-3636.83,8.271859488,2.168798929,-439.6629325
02/08/2023,-181.96,1.82,80.49,"-1,501.84",15,664.34,608.61,-2922.38,8.253682128,73.73799846,-354.0698508
01/08/2023,3.12,126.94,1.66,25.65,1044.49,13.68,2230.49,-24.77,8.221153846,271.3110643,-3.012959064
31/07/2023,-94.13,31.31,-0.13,-774.18,257.56,-1.09,1444.27,184.44,8.224583023,175.6040392,22.425453
28/07/2023,152.27,46.89,-0.04,1252.35,385.65,-0.29,786.2,"-1,801.79",8.224535365,95.59202619,-219.0749897
27/07/2023,-152.43,31.56,-0.95,"-1,249.82",258.75,-7.8,663.40,"-6,365.04",8.199304599,80.90930054,-776.2902236
26/07/2023,137.94,2.64,-0.78,1130.96,21.66,-6.4,-206.99,"-1,311.41",8.19892707,-25.24598624,-159.9489773
25/07/2023,348.96,4.78,0.5,"2,854.80",39.13,4.08,684.13,-3071.04,8.18088033,83.62547457,-375.3923632
24/07/2023,28.14,19.95,-1,230.51,163.39,-8.21,1565.42,-2634.33,8.191542289,191.101986,-321.5914546
21/07/2023,-171.3,27.46,-0.25,"-1,405.07",225.22,-2.07,449.9,-706.39,8.202393462,54.84984378,-86.11998477
20/07/2023,565.41,128.79,-0.86,4638.87,"1,056.65",-7.04,487.49,75.9,8.204435719,59.41785842,9.251093262
19/07/2023,267.23,-21.44,-0.46,"2,193.99",-176,-3.8,710.82,291.10,8.210118624,86.5785298,35.45624775
18/07/2023,308.06,53.48,-0.02,"2,527.61",438.81,-0.18,"2,175.42","1,555.68",8.204927612,265.1357944,189.6031353
17/07/2023,61.43,23.83,-0.11,504.66,195.8,-0.91,2323.43,-446.6,8.215204298,282.8207207,-54.36261642
14/07/2023,399.37,4.95,0.43,"3,278.87",40.64,3.53,1872.48,-423.13,8.210105917,228.0701393,-51.53770296
13/07/2023,688.1,5.12,0.72,"5,650.65",42.05,5.91,-403.97,"1,385.83",8.211960471,-49.1928817,168.7575098
12/07/2023,-40.55,-48.48,-0.66,-333.60,-398.83,-5.44,540.28,-1830.66,8.226880395,65.67252398,-222.5217716
11/07/2023,178.4,39.06,-0.24,"1,469.15",321.68,-2,391.22,-1020.59,8.23514574,47.50614165,-123.9310186
