Month,Exchange,parameter,Trading_Days,IDX_CO,IDX_FUT,IDX_PO,STK_CO,STK_FUT,STK_PO,Total_Futures,Total_Options,Total_Derivatives
31/01/2012,BSE,Premium Turnover,22,0,,0,0,,0,0,0,0
31/01/2012,BSE,Turnover,22,"13,656.76","46,638.88","6,920.02",0,"1,939.51",0,"48,578.39","20,576.78","69,155.17"
31/01/2012,NSE,Contracts,22,"2,98,04,342.00","1,08,56,475.00","3,26,19,699.00","26,78,358.00","1,39,58,030.00","14,79,438.00","2,48,14,505.00","6,65,81,837.00","9,13,96,342.00"
31/01/2012,NSE,Premium Turnover,22,0,,0,0,,0,0,0,0
31/01/2012,NSE,Turnover,22,"7,59,483.72","2,50,737.87","7,83,058.44","70,805.44","3,50,848.12","36,553.89","6,01,585.99","16,49,901.48","22,51,487.47"
29/02/2012,BSE,Contracts,20,"34,72,025.00","12,68,794.00","1,29,14,772.00",462,"46,795.00",601,"13,15,589.00","1,63,87,860.00","1,77,03,449.00"
29/02/2012,BSE,Premium Turnover,20,0,,0,0,,0,0,0,0
29/02/2012,BSE,Turnover,20,"1,01,936.51","34,075.22","2,96,642.43",16.79,"1,730.21",17.65,"35,805.43","3,98,613.39","4,34,418.81"
29/02/2012,NSE,Contracts,20,"3,00,11,709.00","1,12,89,436.00","3,53,04,439.00","26,73,087.00","1,53,06,021.00","13,54,968.00","2,65,95,457.00","6,93,44,203.00","9,59,39,660.00"
29/02/2012,NSE,Premium Turnover,20,0,,0,0,,0,0,0,0
29/02/2012,NSE,Turnover,20,"8,42,314.16","2,91,138.40","9,34,905.59","83,494.80","4,51,869.28","38,055.87","7,43,007.67","18,98,770.41","26,41,778.08"
31/03/2012,BSE,Contracts,22,"29,08,497.00","14,34,598.00","42,58,720.00","4,315.00","52,032.00","5,483.00","14,86,630.00","71,77,015.00","86,63,645.00"
31/03/2012,BSE,Premium Turnover,22,0,,0,0,,0,0,0,0
31/03/2012,BSE,Turnover,22,"77,315.38","37,677.91","1,11,988.85",117.51,"1,488.20",130.49,"39,166.11","1,89,552.23","2,28,718.34"
31/03/2012,NSE,Contracts,22,"3,95,37,675.00","1,34,92,062.00","4,09,34,931.00","22,13,907.00","1,32,62,789.00","11,21,541.00","2,67,54,851.00","8,38,08,054.00","11,05,62,905.00"
31/03/2012,NSE,Premium Turnover,22,0,,0,0,,0,0,0,0
31/03/2012,NSE,Turnover,22,"10,91,000.67","3,37,971.80","10,65,835.90","68,600.26","3,84,126.29","31,696.12","7,22,098.09","22,57,132.96","29,79,231.05"
30/04/2012,BSE,Contracts,20,"57,59,235.00","12,12,385.00","71,42,747.00",0,"1,299.00",0,"12,13,684.00","1,29,01,982.00","1,41,15,666.00"
30/04/2012,BSE,Premium Turnover,20,0,,0,0,,0,0,0,0
30/04/2012,BSE,Turnover,20,"1,52,035.71","31,589.46","1,86,055.90",0,35.57,0,"31,625.03","3,38,091.61","3,69,716.63"
30/04/2012,NSE,Contracts,20,"2,92,80,635.00","92,18,725.00","3,01,15,955.00","22,47,374.00","1,07,39,998.00","12,09,497.00","1,99,58,723.00","6,28,53,461.00","8,28,12,184.00"
30/04/2012,NSE,Premium Turnover,20,0,,0,0,,0,0,0,0
30/04/2012,NSE,Turnover,20,"7,94,303.64","2,28,988.66","7,79,556.41","66,905.55","3,03,853.26","33,709.36","5,32,841.91","16,74,474.96","22,07,316.87"
31/05/2012,BSE,Contracts,22,"1,56,67,152.00","8,70,652.00","85,81,476.00",0,123,147,"8,70,775.00","2,42,48,775.00","2,51,19,550.00"
31/05/2012,BSE,Premium Turnover,22,0,,0,0,,0,0,0,0
31/05/2012,BSE,Turnover,22,"3,94,654.33","20,858.62","2,08,777.37",0,3.41,2.64,"20,862.03","6,03,434.34","6,24,296.37"
31/05/2012,NSE,Contracts,22,"4,06,65,171.00","1,14,44,310.00","4,07,86,898.00","29,24,787.00","1,27,48,867.00","15,82,675.00","2,41,93,177.00","8,59,59,531.00","11,01,52,708.00"
31/05/2012,NSE,Premium Turnover,22,0,,0,0,,0,0,0,0
