Month,India G-Secs,Gold_INR,Silver_INR,Gold,Silver,WTI Crude Oil,Brent Oil,Natural Gas,Indian Rupee,Dollar Index
31/10/2012,1149.63,89930.167,1558.9052,1614.58,27.985,88.06,104.92,3.209,55.655,82.635
30/09/2012,1143.12,88450.5027,1521.5672,1597.45,27.4962,84.96,97.8,2.824,55.6375,81.627
31/08/2012,1127.43,87990.2214,1562.8522,1560.51,27.705,86.53,101.87,2.422,56.11,83.043
31/07/2012,1119.93,87693.6823,1631.3262,1664.75,31.0294,104.87,119.47,2.285,52.7363,78.776
30/06/2012,1112.71,84998.057,1643.4862,1668.15,32.2447,103.02,122.88,2.126,50.875,79.004
31/05/2012,1102.18,83334.7912,1703.2583,1696.76,34.675,107.07,122.66,2.616,49.0238,78.737
30/04/2012,1075.22,86124.104,1644.1522,1737.76,33.1725,98.48,110.98,2.503,49.455,79.288
31/03/2012,1072.26,83129.2599,1478.6462,1564.91,27.835,98.83,107.38,2.989,53.065,80.178
29/02/2012,1086.2,91042.9484,1709.5582,1746.35,32.805,100.36,110.52,3.55,52.2112,78.384
31/01/2012,1075.4,83498.4865,1669.9462,1714.7,34.2975,93.19,109.56,3.934,48.695,76.166
31/12/2011,1049.81,79519.986,1465.5602,1623.79,29.9275,79.2,102.76,3.666,48.9637,78.553
30/11/2011,1027.37,84148.8382,1915.6732,1825.55,41.5675,88.81,114.85,4.054,46.095,74.117
31/10/2011,1013.69,71943.9773,1762.7182,1627.05,39.8925,95.7,116.74,4.145,44.1881,73.897
30/09/2011,1033,66950.0861,1547.8682,1500.18,34.69,95.42,112.48,4.374,44.6981,74.303
31/08/2011,1030.51,69205.4145,1735.3733,1535.73,38.52,102.7,116.73,4.666,45.06,74.638
31/07/2011,1015.99,69134.6645,2118.3591,1563.7,47.905,113.93,125.89,4.698,44.2194,72.933
30/06/2011,1015.77,63863.8084,1679.3881,1432.2,37.665,106.72,117.36,4.389,44.585,75.857
31/05/2011,1003.85,63880.6482,1534.3992,1411.33,33.8938,96.97,111.8,4.037,45.2708,76.889
30/04/2011,1010.29,61168.4292,1288.0951,1332.68,28.065,92.19,101.01,4.42,45.905,77.735
31/03/2011,1017.08,63515.7576,1381.4412,1421.4,30.9075,91.38,94.75,4.405,44.705,79.028
28/02/2011,1006.78,63597.7771,1289.0252,1386.23,28.0975,84.11,85.92,4.18,45.885,81.195
31/01/2011,994.89,60387.1791,1099.5452,1359.4,24.7519,81.43,83.15,4.038,44.4275,77.266
