Month,Trades_in_Lakh,Traded_Quantity_in_Lakh,Turnover_in_Crore,ADT_Crore,Avg_Trade_Size,Traded_Quantity_in_DEMAT_in_Lakh,DEMAT_Turnover_in_Crore,Market_Cap_in_Crore,Sensex_Nifty_Close,Market_Cap_BSE_in_Crore,Nifty_Index,Sensex_Index
31/03/2017,"2,185.73","3,69,998.54","8,45,346.70","38,424.85","38,675.66","3,69,998.54","8,45,346.66","1,20,66,473.18","38,794.25","1,21,54,525.46","9,173.75","29,620.50"
30/04/2017,"1,960.40","3,07,038.62","5,47,180.59","30,398.92","27,911.65","3,07,038.62","5,47,180.57","1,23,94,418.83","39,222.45","1,24,84,962.90","9,304.05","29,918.40"
31/05/2017,"2,407.79","3,58,519.90","6,79,607.44","30,891.25","28,225.36","3,58,519.90","6,79,607.43","1,24,98,453.80","40,767.05","1,25,80,118.73","9,621.25","31,145.80"
30/06/2017,"2,062.39","3,08,715.89","5,72,239.26","27,249.49","27,746.37","3,08,715.89","5,72,239.24","1,25,13,470.58","40,442.51","1,25,96,811.99","9,520.90","30,921.61"
31/07/2017,"2,159.79","3,89,381.46","6,32,339.71","30,111.41","29,277.80","3,89,381.46","6,32,339.70","1,31,91,843.44","42,592.04","1,32,62,245.53","10,077.10","32,514.94"
31/08/2017,"2,190.03","3,38,699.56","6,32,893.04","30,137.76","28,898.88","3,38,699.56","6,32,893.00","1,31,22,485.43","41,648.39","1,31,89,762.82","9,917.90","31,730.49"
30/09/2017,"2,363.51","3,54,417.95","6,84,440.69","32,592.41","28,958.59","3,54,417.95","6,84,440.68","1,31,13,534.74","41,072.32","1,31,81,353.14","9,788.60","31,283.72"
31/10/2017,"2,293.98","3,42,873.48","6,85,448.52","34,272.43","29,880.36","3,42,873.48","6,85,448.51","1,43,00,081.68","43,548.43","1,43,91,545.90","10,335.30","33,213.13"
30/11/2017,"2,876.42","4,38,678.37","8,57,895.54","38,995.25","29,825.06","4,38,678.37","8,57,895.51","1,44,94,578.30","43,375.90","1,45,96,655.54","10,226.55","33,149.35"
31/12/2017,"2,406.04","4,17,832.19","6,93,721.18","34,686.06","28,832.48","4,17,832.19","6,93,721.17","1,50,78,081.32","44,587.53","1,51,73,866.88","10,530.70","34,056.83"
31/01/2018,"3,086.43","5,67,893.91","9,37,376.93","42,608.04","30,370.90","5,67,893.91","9,37,376.91","1,52,30,715.18","46,992.72","1,53,20,977.74","11,027.70","35,965.02"
28/02/2018,"2,468.83","3,60,066.04","7,21,440.79","37,970.57","29,221.99","3,60,066.04","7,21,440.79","1,46,64,836.98","44,676.89","1,47,65,583.17","10,492.85","34,184.04"
31/03/2018,"2,224.05","3,59,322.03","6,73,210.23","35,432.12","30,269.63","3,59,322.03","6,73,210.22","1,41,34,574.26","43,082.38","1,42,24,996.97","10,113.70","32,968.68"
30/04/2018,"2,410.67","3,45,785.97","7,13,070.01","33,955.71","29,579.71","3,45,785.97","7,13,070.01","1,51,85,768.86","45,899.71","1,52,79,535.37","10,739.35","35,160.36"
31/05/2018,"2,725.64","3,93,490.04","7,75,373.11","35,244.23","28,447.41","3,93,490.04","7,75,373.11","1,47,81,465.57","46,058.53","1,48,69,671.10","10,736.15","35,322.38"
30/06/2018,"2,416.24","3,21,264.27","6,55,858.82","31,231.37","27,143.72","3,21,264.27","6,55,858.81","1,44,15,507.11","46,137.78","1,45,01,942.26","10,714.30","35,423.48"
31/07/2018,"2,594.66","3,55,245.60","7,28,035.90","33,092.54","28,059.04","3,55,245.60","7,28,035.90","1,52,21,511.69","48,963.08","1,53,14,574.30","11,356.50","37,606.58"
31/08/2018,"2,700.37","3,75,441.29","7,73,765.03","36,845.95","28,654.04","3,75,441.29","7,73,765.03","1,58,32,806.89","50,325.57","1,59,34,695.78","11,680.50","38,645.07"
30/09/2018,"2,703.00","3,42,546.49","7,50,795.60","41,710.87","27,776.33","3,42,546.49","7,50,795.59","1,43,89,351.86","47,157.59","1,44,86,401.68","10,930.45","36,227.14"
31/10/2018,"3,226.20","3,74,648.15","8,11,968.96","38,665.19","25,167.98","3,74,648.15","8,11,968.95","1,37,69,467.04","44,828.65","1,38,45,109.37","10,386.60","34,442.05"
30/11/2018,"2,559.75","3,20,257.34","6,69,977.54","33,498.88","26,173.57","3,20,257.34","6,69,977.52","1,42,05,655.19","47,071.05","1,42,88,775.86","10,876.75","36,194.30"
31/12/2018,"2,447.89","3,25,855.29","6,50,400.33","32,520.02","26,569.82","3,25,855.29","6,50,400.31","1,43,63,774.10","46,930.88","1,44,48,465.69","10,862.55","36,068.33"
31/01/2019,"2,661.14","3,20,202.87","7,27,221.45","31,618.32","27,327.47","3,20,202.87","7,27,221.43","1,40,07,986.43","47,087.64","1,40,99,330.09","10,830.95","36,256.69"
28/02/2019,"2,633.90","3,89,239.21","6,89,926.10","34,496.30","26,194.09","3,89,239.21","6,89,926.08","1,39,56,489.84","46,659.94","1,40,41,530.33","10,792.50","35,867.44"
31/03/2019,"2,597.35","4,04,102.86","7,78,201.54","40,957.98","29,961.33","4,04,102.86","7,78,201.54","1,50,21,468.93","50,296.81","1,51,08,711.01","11,623.90","38,672.91"
