Month,Sub_Category,No_scheme,No_Folios,Funds_Mobilised_YTD,Redemptions_YTD,Net_Inflow_YTD,Net_AUM,Average_AUM,No_Folios_segregated,AUM_segregated_folio
30-06-2023,Income/Debt Oriented Schemes,418.00,"73,44,806.00","24,42,989.68","23,09,770.74","1,33,218.92","13,69,221.21","14,60,086.56",7.00,0.00
30-06-2023,Interval Schemes,12.00,"2,734.00",11.01,753.31,"-,742.30",246.94,356.34,0.00,0.00
30-06-2023,Other Schemes,409.00,"2,27,20,734.00","39,692.15","26,202.62","13,489.53","7,60,549.80","7,48,150.19",0.00,0.00
30-06-2023,Solution Oriented  Schemes,36.00,"57,07,653.00","1,037.67",618.62,419.06,"36,087.08","35,448.96",0.00,0.00
31-07-2023,Growth/Equity Oriented Schemes,419.00,"10,28,82,256.00","1,32,289.43","1,08,357.41","23,932.02","18,28,807.50","17,85,387.19",0.00,0.00
31-07-2023,Hybrid Schemes,140.00,"1,22,49,637.00","78,785.44","52,343.70","26,441.74","5,50,996.62","5,55,235.63",5.00,35.14
31-07-2023,Income/Debt Oriented Schemes,413.00,"73,92,705.00","33,61,698.47","31,67,338.10","1,94,360.37","14,38,906.09","14,77,527.22",7.00,0.00
31-07-2023,Interval Schemes,12.00,"2,716.00",11.01,755.06,"-,744.05",246.59,269.88,0.00,0.00
31-07-2023,Other Schemes,416.00,"2,31,75,434.00","56,337.28","41,988.10","14,349.18","7,81,143.56","7,72,495.07",0.00,0.00
31-07-2023,Solution Oriented  Schemes,36.00,"57,18,522.00","1,393.35",853.67,539.68,"37,464.30","36,772.34",0.00,0.00
31-08-2023,Growth/Equity Oriented Schemes,425.00,"10,50,76,610.00","1,77,111.91","1,33,046.61","44,065.30","18,64,033.49","18,30,194.32",0.00,0.00
31-08-2023,Hybrid Schemes,140.00,"1,21,98,760.00","1,09,644.41","66,120.99","43,523.42","5,61,222.30","5,71,127.22",5.00,35.14
31-08-2023,Income/Debt Oriented Schemes,411.00,"76,05,922.00","42,30,747.60","40,64,004.63","1,66,742.97","14,25,100.82","14,80,185.98",7.00,0.00
31-08-2023,Interval Schemes,12.00,"2,699.00",106.97,788.73,"-,681.76",291.35,267.79,0.00,0.00
31-08-2023,Other Schemes,421.00,"2,36,25,589.00","71,638.76","52,754.40","18,884.36","7,75,040.57","7,74,472.33",0.00,0.00
31-08-2023,Solution Oriented  Schemes,36.00,"57,31,997.00","1,837.85","1,107.28",730.57,"37,791.60","37,400.28",0.00,0.00
30-09-2023,Growth/Equity Oriented Schemes,429.00,"10,72,62,603.00","2,19,267.33","1,61,344.43","57,922.90","19,12,017.22","19,12,484.44",0.00,0.00
30-09-2023,Hybrid Schemes,145.00,"1,24,45,422.00","1,46,453.19","84,279.28","62,173.91","5,87,782.72","5,96,839.35",5.00,35.14
30-09-2023,Income/Debt Oriented Schemes,404.00,"75,80,413.00","50,23,098.14","49,59,909.89","63,188.25","13,28,784.30","14,38,819.92",7.00,0.00
30-09-2023,Interval Schemes,12.00,"2,627.00",106.99,821.09,"-,714.10",276.80,308.97,0.00,0.00
30-09-2023,Other Schemes,425.00,"2,40,61,200.00","88,368.90","64,764.85","23,604.05","7,90,567.84","7,92,147.39",0.00,0.00
30-09-2023,Solution Oriented  Schemes,36.00,"57,43,922.00","2,193.94","1,295.56",898.38,"38,326.32","38,415.23",0.00,0.00
31-10-2023,Growth/Equity Oriented Schemes,433.00,"10,91,61,657.00","2,63,071.87","1,85,217.06","77,854.81","18,83,228.22","19,08,537.82",0.00,0.00
31-10-2023,Hybrid Schemes,145.00,"1,25,52,645.00","1,73,490.52","1,01,409.79","72,080.73","5,87,818.66","6,12,579.05",5.00,35.14
31-10-2023,Income/Debt Oriented Schemes,403.00,"75,59,290.00","59,08,826.61","58,03,036.75","1,05,789.86","13,77,745.66","14,29,946.75",7.00,0.00
31-10-2023,Interval Schemes,12.00,"2,610.00",107.41,821.98,"-,714.57",277.95,304.09,0.00,0.00
31-10-2023,Other Schemes,431.00,"2,45,96,887.00","1,08,516.51","77,166.58","31,349.93","7,84,681.41","7,90,755.08",0.00,0.00
31-10-2023,Solution Oriented  Schemes,37.00,"57,73,701.00","2,716.44","1,475.43","1,241.02","37,936.00","38,299.63",0.00,0.00
30-11-2023,Growth/Equity Oriented Schemes,438.00,"11,07,97,213.00","3,01,957.61","2,08,588.31","93,369.31","20,37,421.64","19,66,075.74",0.00,0.00
30-11-2023,Hybrid Schemes,146.00,"1,26,39,551.00","2,02,153.60","1,16,534.80","85,618.80","6,23,808.85","6,30,996.67",5.00,35.14
30-11-2023,Income/Debt Oriented Schemes,404.00,"75,24,208.00","67,27,158.96","66,27,356.95","99,802.02","13,80,329.64","14,32,903.71",7.00,0.00
30-11-2023,Interval Schemes,12.00,"2,619.00",241.52,824.81,"-,583.30",407.72,334.23,0.00,0.00
30-11-2023,Other Schemes,435.00,"2,50,65,762.00","1,21,907.55","88,323.36","33,584.19","8,22,933.99","8,05,411.97",0.00,0.00
