Month,NSEBANK Index,NSEIT Index,NSEAUTO Index,NSEFIN Index,NSEFMCG Index,NSEPSBK Index,NSEPHRM Index,NSEMET Index,NSEREAL Index,NSEPSE Index,NSEMDSM Index,DEFTY Index,NIFTYJR Index,NSE200 Index,INVIXN Index,NIFTYM50 Index,NSE100 Index,NIFTY Index,S&P500 Index,NIFTYTR Index,CPSE Index,NSECON Index,NIFTYS Index,NSEPBANK Index,NSEINFR Index,NSEAP Index,NSESRV Index,NSEMED Index,NSEMNC Index,NSECMD Index,NSEMNCTR Index,NSEPSUTR Index,BSESML Index,BSEMID Index,BSE500 Index
31/01/1969,,,,,,,,,,,,,,,,,,,103.01,,,,,,,,,,,,,,,,
31/12/1968,,,,,,,,,,,,,,,,,,,103.86,,,,,,,,,,,,,,,,
30/11/1968,,,,,,,,,,,,,,,,,,,108.37,,,,,,,,,,,,,,,,
31/10/1968,,,,,,,,,,,,,,,,,,,103.41,,,,,,,,,,,,,,,,
30/09/1968,,,,,,,,,,,,,,,,,,,102.67,,,,,,,,,,,,,,,,
31/08/1968,,,,,,,,,,,,,,,,,,,98.86,,,,,,,,,,,,,,,,
31/07/1968,,,,,,,,,,,,,,,,,,,97.74,,,,,,,,,,,,,,,,
30/06/1968,,,,,,,,,,,,,,,,,,,99.58,,,,,,,,,,,,,,,,
31/05/1968,,,,,,,,,,,,,,,,,,,98.68,,,,,,,,,,,,,,,,
30/04/1968,,,,,,,,,,,,,,,,,,,97.59,,,,,,,,,,,,,,,,
31/03/1968,,,,,,,,,,,,,,,,,,,90.2,,,,,,,,,,,,,,,,
29/02/1968,,,,,,,,,,,,,,,,,,,89.36,,,,,,,,,,,,,,,,
31/01/1968,,,,,,,,,,,,,,,,,,,92.24,,,,,,,,,,,,,,,,
31/12/1967,,,,,,,,,,,,,,,,,,,96.47,,,,,,,,,,,,,,,,
30/11/1967,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,
31/10/1967,,,,,,,,,,,,,,,,,,,93.9,,,,,,,,,,,,,,,,
30/09/1967,,,,,,,,,,,,,,,,,,,96.71,,,,,,,,,,,,,,,,
31/08/1967,,,,,,,,,,,,,,,,,,,93.64,,,,,,,,,,,,,,,,
31/07/1967,,,,,,,,,,,,,,,,,,,94.75,,,,,,,,,,,,,,,,
30/06/1967,,,,,,,,,,,,,,,,,,,90.64,,,,,,,,,,,,,,,,
31/05/1967,,,,,,,,,,,,,,,,,,,89.08,,,,,,,,,,,,,,,,
30/04/1967,,,,,,,,,,,,,,,,,,,94.01,,,,,,,,,,,,,,,,
31/03/1967,,,,,,,,,,,,,,,,,,,90.2,,,,,,,,,,,,,,,,
28/02/1967,,,,,,,,,,,,,,,,,,,86.78,,,,,,,,,,,,,,,,
31/01/1967,,,,,,,,,,,,,,,,,,,86.61,,,,,,,,,,,,,,,,
